 AGE         ,RAYON       ,LUMINOSITE  ,TEMPERATURE ,TEFF        ,R_RJUP      ,L_LJUP      
  2.82449E+01, 1.12751E+10, 2.41769E+27, 2.53067E+03, 2.00083E+03, 1.57711E+00, 7.21699E+04
  3.12464E+01, 1.11553E+10, 2.14115E+27, 2.50068E+03, 2.00075E+03, 1.56036E+00, 6.39149E+04
  3.45480E+01, 1.10413E+10, 1.94844E+27, 2.47979E+03, 2.00070E+03, 1.54441E+00, 5.81623E+04
  3.81799E+01, 1.09273E+10, 1.74120E+27, 2.45523E+03, 2.00064E+03, 1.52846E+00, 5.19760E+04
  4.21749E+01, 1.08203E+10, 1.56468E+27, 2.43325E+03, 2.00059E+03, 1.51349E+00, 4.67069E+04
  4.65694E+01, 1.07139E+10, 1.40365E+27, 2.41218E+03, 2.00054E+03, 1.49862E+00, 4.18999E+04
  5.14034E+01, 1.06111E+10, 1.26240E+27, 2.39287E+03, 2.00049E+03, 1.48423E+00, 3.76836E+04
  5.67207E+01, 1.05147E+10, 1.15024E+27, 2.37717E+03, 2.00046E+03, 1.47075E+00, 3.43355E+04
  6.25698E+01, 1.04135E+10, 1.00519E+27, 2.35459E+03, 2.00041E+03, 1.45660E+00, 3.00055E+04
  6.90038E+01, 1.03222E+10, 9.18233E+26, 2.34133E+03, 2.00038E+03, 1.44382E+00, 2.74100E+04
  7.60812E+01, 1.02314E+10, 8.26737E+26, 2.32639E+03, 2.00035E+03, 1.43113E+00, 2.46787E+04
  8.38664E+01, 1.01407E+10, 7.23374E+26, 2.30810E+03, 2.00031E+03, 1.41844E+00, 2.15932E+04
  9.15491E+01, 1.00675E+10, 6.77501E+26, 2.30056E+03, 2.00029E+03, 1.40821E+00, 2.02239E+04
  1.00000E+02, 9.98854E+09, 6.10492E+26, 2.28822E+03, 2.00027E+03, 1.39715E+00, 1.82236E+04
  1.09296E+02, 9.91113E+09, 5.42566E+26, 2.27501E+03, 2.00024E+03, 1.38633E+00, 1.61960E+04
  1.19522E+02, 9.84191E+09, 5.02236E+26, 2.26739E+03, 2.00023E+03, 1.37665E+00, 1.49921E+04
  1.30770E+02, 9.76776E+09, 4.51797E+26, 2.25716E+03, 2.00021E+03, 1.36627E+00, 1.34865E+04
  1.43143E+02, 9.69480E+09, 4.04335E+26, 2.24716E+03, 2.00019E+03, 1.35607E+00, 1.20697E+04
  1.56753E+02, 9.62843E+09, 3.73584E+26, 2.24081E+03, 2.00018E+03, 1.34678E+00, 1.11518E+04
  1.71725E+02, 9.55860E+09, 3.32662E+26, 2.23164E+03, 2.00016E+03, 1.33702E+00, 9.93020E+03
  1.88193E+02, 9.49042E+09, 2.98862E+26, 2.22395E+03, 2.00015E+03, 1.32748E+00, 8.92126E+03
  2.06308E+02, 9.42698E+09, 2.75421E+26, 2.21868E+03, 2.00014E+03, 1.31861E+00, 8.22152E+03
  2.26235E+02, 9.36075E+09, 2.45401E+26, 2.21144E+03, 2.00012E+03, 1.30934E+00, 7.32541E+03
  2.48155E+02, 9.29744E+09, 2.19390E+26, 2.20501E+03, 2.00011E+03, 1.30049E+00, 6.54896E+03
