 Age,M_Mtot,R_cm,logP,logT,logRho,logL,Kappa,Sint,Gradrad,Gradad,Gradtot,Tau,Lconv
  2.500000000000D+03,  9.898928660777D-01,  7.525217711073D+09,  1.090600655116D+01,  3.898515675187D+00, -7.722530100128D-01,  2.525325809343D+01,  1.664746630565D+05,  6.421419347593D+08,  1.069738225767D+05,  1.991251036247D-01,  1.991251093334D-01,  1.362219788749D+12,1
  2.500000000000D+03,  9.886778030207D-01,  7.502915745335D+09,  1.095872393896D+01,  3.909012822120D+00, -7.422965822345D-01,  2.525317705240D+01,  2.342685007009D+05,  6.421414535269D+08,  1.544629902903D+05,  1.992412539754D-01,  1.992412593827D-01,  2.133974504516D+12,1
  2.500000000000D+03,  9.873449409125D-01,  7.479917867062D+09,  1.101055056056D+01,  3.919444055973D+00, -7.134538837517D-01,  2.525308656229D+01,  3.300394814748D+05,  6.421293766667D+08,  2.229839020058D+05,  2.067216045112D-01,  2.067216096437D-01,  3.333132071009D+12,1
  2.500000000000D+03,  9.859135286448D-01,  7.456601794674D+09,  1.106059622244D+01,  3.930085364820D+00, -6.869196506291D-01,  2.525298698006D+01,  4.684592976546D+05,  6.421282013150D+08,  3.223965614932D+05,  2.190131732129D-01,  2.190131780996D-01,  5.165401600410D+12,1
  2.500000000000D+03,  9.843871403860D-01,  7.433001234890D+09,  1.110878681545D+01,  3.940962031108D+00, -6.627081294138D-01,  2.525287810699D+01,  6.705119504846D+05,  6.421277455473D+08,  4.670603603918D+05,  2.326616457560D-01,  2.326616504226D-01,  7.967667724153D+12,1
  2.500000000000D+03,  9.827140176602D-01,  7.408350373239D+09,  1.115662172597D+01,  3.951564608782D+00, -6.384393872022D-01,  2.525274530695D+01,  9.560305732627D+05,  6.422545118824D+08,  6.752566173189D+05,  1.717027477285D-01,  1.717027521908D-01,  1.238417789275D+13,1
  2.500000000000D+03,  9.804130646610D-01,  7.376556094182D+09,  1.121557023153D+01,  3.957865481070D+00, -5.996790617605D-01,  2.525255635664D+01,  1.227790952732D+06,  6.422540055539D+08,  9.390649345039D+05,  4.027406299512D-02,  4.027406725109D-02,  2.066957791070D+13,1
  2.500000000000D+03,  9.760813581673D-01,  7.323821119988D+09,  1.131037510629D+01,  3.950676981939D+00, -5.188571710605D-01,  2.525213601160D+01,  1.126097375578D+06,  6.410177212246D+08,  1.148705602174D+06, -1.077423602829D-02, -1.077423202242D-02,  3.784711844283D+13,1
  2.500000000000D+03,  9.728407848797D-01,  7.289246014884D+09,  1.137088246131D+01,  3.955161535840D+00, -4.774843013128D-01,  2.525163851054D+01,  1.376047229439D+06,  6.410206180079D+08,  1.551608036514D+06,  1.598637672154D-01,  1.598637709945D-01,  5.157184672611D+13,1
  2.500000000000D+03,  9.701893548448D-01,  7.262720275569D+09,  1.141535992422D+01,  3.965100546703D+00, -4.548262761214D-01,  2.525123311974D+01,  1.927289199659D+06,  6.410294871659D+08,  2.200882517974D+06,  2.845237023722D-01,  2.845237059443D-01,  6.637635373888D+13,1
  2.500000000000D+03,  9.676770785582D-01,  7.238490793855D+09,  1.145408910808D+01,  3.976809496080D+00, -4.387414136912D-01,  2.525081494278D+01,  2.831708156073D+06,  6.410859507216D+08,  3.179067324697D+06,  2.881026855476D-01,  2.881026889095D-01,  8.663780066622D+13,1
  2.500000000000D+03,  9.648914906910D-01,  7.212449699795D+09,  1.149376516607D+01,  3.987697326629D+00, -4.216337938275D-01,  2.525033855246D+01,  4.086318601474D+06,  6.410831833724D+08,  4.554951753981D+06,  2.620449479690D-01,  2.620449511334D-01,  1.195777737170D+14,1
  2.500000000000D+03,  9.618241845567D-01,  7.184704978259D+09,  1.153408608107D+01,  3.997837796357D+00, -4.036308695797D-01,  2.524980050239D+01,  5.796436875382D+06,  6.410779203729D+08,  6.470181100767D+06,  2.431474161181D-01,  2.431474191115D-01,  1.718594899717D+14,1
