# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 9.98617750356D-01, 9.55638889082D-01,-1.38224964398D-03,-4.43611109182D-02, 2.27445178821D+30, 8.45906680341D+09, 0.00000000000D+00, 7.13692050878D+09, 5.83044796675D+03, 2.97837594463D-02, 1.00000000000D+00, 6.78947879719D+08, 1.92803911662D+03, 1.76021190307D-01, 1.76021139542D-01, 2.06412191359D+03, 2.11582529330D+09, 5.75308739218D+05, 2.61883962781D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.98413292299D-01, 9.53770244288D-01,-1.58670770093D-03,-4.62297557122D-02, 2.27398611454D+30, 8.44252604588D+09, 0.00000000000D+00, 8.24063399845D+09, 5.98095378626D+03, 3.30392428129D-02, 1.00000000000D+00, 6.78947298315D+08, 2.64483980067D+03, 1.78546982379D-01, 1.78546935990D-01, 2.95313620026D+03, 3.29262510504D+09, 5.89050344146D+05, 2.60951997370D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.98181735585D-01, 9.51853075500D-01,-1.81826441544D-03,-4.81469244999D-02, 2.27345872097D+30, 8.42555576659D+09, 0.00000000000D+00, 9.50029704026D+09, 6.13591412638D+03, 3.65797477557D-02, 1.00000000000D+00, 6.78947049900D+08, 3.64439610944D+03, 1.81123776130D-01, 1.81123733605D-01, 4.23595823047D+03, 5.13228509569D+09, 6.03828402029D+05, 2.59586506458D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.97920048305D-01, 9.49886110806D-01,-2.07995169467D-03,-5.01138891936D-02, 2.27286270202D+30, 8.40814470690D+09, 0.00000000000D+00, 1.09351539825D+10, 6.29544884547D+03, 4.04174717201D-02, 1.00000000000D+00, 6.78946719840D+08, 5.04419497504D+03, 1.83904734310D-01, 1.83904695211D-01, 6.09157848266D+03, 8.01521605690D+09, 6.18883234036D+05, 2.57859740732D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.97625063787D-01, 9.47868965624D-01,-2.37493621266D-03,-5.21310343755D-02, 2.27219084528D+30, 8.39028946258D+09, 0.00000000000D+00, 1.25657215382D+10, 6.45976849194D+03, 4.45698661678D-02, 1.00000000000D+00, 6.78947101981D+08, 7.01362473875D+03, 1.86826865282D-01, 1.86826829226D-01, 8.78234332623D+03, 1.25424494754D+10, 6.34427612589D+05, 2.55804635287D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.97293255282D-01, 9.45800403710D-01,-2.70674471782D-03,-5.41995962902D-02, 2.27143511823D+30, 8.37197909072D+09, 0.00000000000D+00, 1.44151019098D+10, 6.62896919843D+03, 4.90477942596D-02, 1.00000000000D+00, 6.78947059605D+08, 9.79618407388D+03, 1.89817634699D-01, 1.89817601359D-01, 1.26935585043D+04, 1.96697941812D+10, 6.50657436195D+05, 2.53489484577D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.96920896688D-01, 9.43679474526D-01,-3.07910331185D-03,-5.63205254741D-02, 2.27058703430D+30, 8.35320517742D+09, 0.00000000000D+00, 1.65081817350D+10, 6.80318335119D+03, 5.38685765263D-02, 1.00000000000D+00, 6.78947076733D+08, 1.37445674340D+04, 1.92867547069D-01, 1.92867516156D-01, 1.83923209340D+04, 3.09163972726D+10, 6.66957459026D+05, 2.50952533671D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.96503967596D-01, 9.41505252253D-01,-3.49603240393D-03,-5.84947477467D-02, 2.26963743660D+30, 8.33395952756D+09, 0.00000000000D+00, 1.88722477820D+10, 6.98251308486D+03, 5.90478233944D-02, 1.00000000000D+00, 6.78947343816D+08, 1.93705800000D+04, 1.95910982039D-01, 1.95910953305D-01, 2.67150388846D+04, 4.87050574976D+10, 6.84158341878D+05, 2.48244642849D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.96038100583D-01, 9.39276298111D-01,-3.96189941739D-03,-6.07237018889D-02, 2.26857637789D+30, 8.31422940543D+09, 0.00000000000D+00, 2.15373927469D+10, 7.16700112144D+03, 6.45957524270D-02, 1.00000000000D+00, 6.78938727949D+08, 2.74179100190D+04, 1.99994469609D-01, 1.99994442737D-01, 3.88971027827D+04, 7.69101429336D+10, 7.02516250974D+05, 2.43889894948D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
 9.95520781952D-01, 9.36999926450D-01,-4.47921804777D-03,-6.30000735498D-02, 2.26739813297D+30, 8.29407955577D+09, 0.00000000000D+00, 2.45238639262D+10, 7.35779057099D+03, 7.04797843153D-02, 1.00000000000D+00, 6.78940201599D+08, 3.90243718158D+04, 2.04414225366D-01, 2.04414200153D-01, 5.67806579570D+04, 1.21578189359D+11, 7.22318936623D+05, 2.38661823610D+08, 6.73000000000D-01, 2.77000000000D-01, 5.00000000000D-02
